loja,cod,desc,saldo,custo_hoje,preco,valor_exposto
L3,52564,AGUA MICELAR ROSA MOSQUETA PHALLEBEAUTY,-5,4.66,10.9,54
L3,59192,ORNAMENTO PARA CABELO PALITO,-8,0.14,6.72,54
L3,64854,SHAMPOO A SECO SEM PERFUME RICCA 150ML,-2,13.34,26.9,54
L3,202870,SABONETE ALYNE FRUTTI MORANGO 1L,-3,7.87,18.12,54
L3,79645,DF7-GT25-CONJUNTO UNHA (1 DECORACAO PARA,-7,3.35,7.36,52
L3,203456,BRINCO DE METAL -  IMITACAO PEROLA - DAF,-4,12.67,12.9,52
L5,12265,ESFOLIANTE P/ PES FORTE 280G - PELO E PE,-2,7.93,25.9,52
L5,57774,COND CICA THERAPY  200ML -  SIAGE EUDORA,-1,32.93,51.9,52
L5,16617,3/0 MAXTON,-3,4.82,16.9,51
L3,9097,COLOR INTENSY 12.11 -  AMEND,-2,16.45,24.9,50
L3,12944,LIXA POP.PARDA P/UNHAS C/100,-2,4.21,25,50
L3,16152,UNHAS VEM BORDO RICCA,-2,11.59,24.9,50
L3,19512,MS ARGAN PRACAXI LOLA 230G,-1,14.99,49.9,50
L5,10773,7/0 ADVANCED - NÁTUM,-2,3.99,24.9,50
L5,10785,6/7 ADVANCED - NÁTUM,-2,4.03,24.9,50
L5,62465,PAPEL COM VELCRO SANTA CLARA,-2,12.87,24.9,50
L3,59619,QUERATINA LIQUIDA PHYTO KERATIN CONDICIO,-1,21.59,48.9,49
L3,78559,HJ382-7 ESMALTE MAGNETICO 7.50ML,-1,21.6,49.38,49
L3,202417,NECESSAIRE VIAGEM DIVERTIDA TURMA DA LU ,-1,22.35,48.78,49
L5,55942,ESPONJA PARA MAQUIAGEM 12UND,-10,0.5,4.9,49
L3,58722,CONDICIONADOR FORTIFICANTE CABELEIRA 300,-1,22.42,47.9,48
L5,120,EMP CUTIC REF 1815 MARCO BONI,-4,6.62,11.9,48
L5,52053,COLAR DE METAL PHD,-2,11.5,23.9,48
L5,60330,BATOM SÓ LOVE - COR 04,-7,3.1,6.9,48
L3,1741,PULS MILANO PRATA 459208,-6,3.16,7.9,47
L3,79560,MASCARA PIGMENTANTE CANCER 100 G KC SIGN,-1,23.34,46.68,47
L5,6710,OX VIOLET 40VOL NATUM 900ML,-1,7.97,46.9,47
L3,76328,BRINCO OTIMO 76328,-2,7.5,22.9,46
L3,79977,CH BARBERSHOP GEL P/ BARBEAR,-1,18.58,45.68,46
L3,204092,COLOR CHANGE SHAMPOO CASTANHO MEDIO,-1,22.02,45.88,46
L5,54499,KIT LA BENIG FIXADOR 10ML/HENNA CAST MED,-1,20.68,45.9,46
L5,78386,NECESSAIRE - 060XG,-1,7.19,45.98,46
L3,30159,BEMDITA GHEE BANANA SHAMPOO 250ML - LOLA,-1,21.33,44.9,45
L3,41453,MOLDES ADES UNHA 27928,-1,0.01,45,45
L3,42669,BRINCO FLOR BRANCA - F27163311,-3,5.09,14.9,45
L3,62918,DREM FACIAL  HIDRAMAIS . 250 ML,-1,22.05,44.9,45
L3,62954,REPARADOR DE PONTAS TRIVITT 30ML,-1,8.06,45,45
L5,76158,COLAR POMBA DA PAZ OTIMO,-3,4.91,14.9,45
L5,77078,PULSEIRA,-7,3.2,6.4,45
L3,65020,CONDICIONADOR  BANHO DE VERNIZ FELPS 250,-1,19.4,43.9,44
L5,60048,ESPATALA DE SILICONE,-4,15,10.9,44
L5,64722,SABONETE LIQUIDO FACIAL POS MAKE ANTISTR,-4,11.88,10.9,44
L5,75812,ESC PROF TERMICA REF 828 DOURADA COM MAR,-1,22.01,44.02,44
L3,19715,7/77 LOURO MEDIO COBRE EXTRA IGORA 60G,-1,18.53,42.9,43
L3,61701,TOP COAT SELANTE GLITTER,-1,21.46,42.9,43
L3,58178,ESM NATI ULTRA GLITTER MARAVIGOLD,-3,4.05,13.9,42
L3,63792,SHAMPOO HIDRO-RECONSTRUTOR CURVAS MAGICA,-1,19.71,41.9,42
L5,20647,FOLHAS PRONTAS CORPORAL MEL TUTTI DEPIL,-2,9.98,20.9,42
L5,30847,ESFOLIANTE P/ O CORPO ARGILA VERDE 90G -,-3,5.32,13.9,42
L3,54871,OX 40 VOL ITALLIAN COLOR 90ML,-1,1.95,40.66,41
L5,1826,PENTE CP 180? ST CLARA 896,-7,3.03,5.9,41
L5,58838,7.77 - LOURO MEDIO MARROM INTENSO MUTARI,-1,10.63,40.9,41
L5,60329,BATOM SÓ LOVE - COR 03,-6,3.1,6.9,41
L3,76310,BRINCO OTIMO 76310,-5,2.5,7.9,40
L5,6811,CAPA MAQUIAGEM LAME CHIGARRET SANTA CLAR,-1,21.96,39.9,40
L5,7550,PAPEL ISOLMANTA 9 X40 C36 VERTIX,-4,4.84,9.9,40
L5,52607,MASCARA FACIAL CARVAO ATIVADO PHALLEBEAU,-4,0.33,10,40
L5,62679,OLEO MINERAL CAPILAR CARMESIM QUERATINA ,-5,23.66,7.9,40
L5,77172,CX PRESENTE QUAD M,-1,13.04,39.9,40
L3,203365,PIRANHA DE METAL - DAFU,-3,11.52,12.9,39
L3,10485,RK PINCEL MAQUIAGEM DUO FIBER,-1,19.57,38,38
L3,62523,SHAMPOO TONALIZANTE PRETO KISS NY,-1,21.8,37.9,38
L3,78149,PH0562 GEL HID REVIGORANTE ANTIOLEOSIDAD,-2,9.46,18.92,38
L3,203829,SAB LIQ ALYNE FRUTTI MARACUJA 1L,-2,7.87,19.04,38
L5,14247,ESF CORPO MARACUJA 500G PELO E PELE,-1,18.09,37.9,38
L5,20623,ESFOLIANTE P/ O CORPO MAX FORTE 500G - P,-1,12.02,37.9,38
L5,65044,MASC FACIAL ARGILA BRANCA CLAREADORA 130,-1,17.06,37.9,38
L3,60942,SHAMPOO  MEU CACHO MEU CRUSH INOAR 500 M,-1,18.49,36.9,37
L3,79578,DF-AD1303 BROCA FACIAL,-3,5.6,12.3,37
L5,77604,R8915,-1,1.05,36.92,37
L3,64366,BAUNY PO COMPACTO FPS25 10G - COR 060,-1,14.25,35.9,36
L3,65483,ESMALTE CORA O MELHOR 10ML AI QUE LUXO C,-6,2.62,5.98,36
L5,8683,UNHA PORT BIPM210BR KISS,-1,15.47,35.9,36
L5,61562,B10010 NECESSAIRE TRAVEL,-1,1.4,35.9,36
L5,62222,BRINCO DE METAL PHD,-3,0.46,11.9,36
L5,76234,BRINCO OTIMO 76234,-3,3.92,11.9,36
L3,203366,PIRANHA DE METAL COM ORNAMENTO DE PLASTI,-6,4.8,5.9,35
L5,12258,KIT BANHO DE LUA ESPECIAL,-1,14.27,34.9,35
L5,52114,COLAR DE METAL PHD,-1,16.5,34.9,35
L3,1825,BRINCO GRANDE,-1,0.37,33.9,34
L3,18262,BRINCO,-2,7.84,16.9,34
L3,57190,BR BF GOTA C/ STRASS METADE,-1,0.01,34,34
L3,58145,8.0 LOIRO CLARO ITALLIAN COLOR 60G,-1,5.34,34.5,34
